text,subject
I am afraid I will fail my math exam.,math
I don't understand calculus problems.,math
Math homework is too hard for me.,math
I need help preparing for the mathematics test.,math
Solving differential equations is confusing.,math
I am struggling with probability and statistics.,math
I can't understand Newton's laws.,physics
I need help with mechanics assignments.,physics
Physics is too difficult.,physics
Understanding energy and work is confusing.,physics
How to calculate gravitational force?,physics
How to solve kinematics equations?,physics
I am struggling to build a responsive website.,web
I don't understand HTML and CSS properly.,web
JavaScript is confusing for me.,web
I need help with my web development project.,web
I can't figure out how to connect the frontend and backend.,web
My website layout is not working as expected.,web
How to write a Python function?,python
Need help with Python loops,python
Python list comprehension is confusing,python
How to work with Python dictionaries?,python
Object-oriented programming in Python,python
Python error handling issues,python
How to pronounce Finnish vowels?,finnish
Finnish grammar cases are confusing,finnish
Need to learn Finnish vocabulary,finnish
Finnish idioms are hard to learn,finnish
Finnish sentence structure is different,finnish
How to improve English pronunciation?,english
English grammar tenses are confusing,english
Need to expand English vocabulary,english
How to write essays in English?,english
English phrasal verbs are difficult,english
Can't understand native English speakers,english
